file	category	interpreter	interpreter+shim	jvm+shim	wasm+shim	missing-names-used
chapter1/section1/subsection6/07_ten.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/08_five_plus_three_plus_four.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/09_nine_minus_one.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/10_six_over_two.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/11_two_times_four_etc.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/12_definea.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/13_defineb.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/14_a_plus_b_etc.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/15_a_equal_b.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/16_b_gt_a_etc.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/17_a_equal_four_etc.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/18_two_plus_etc.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/19_a_greater_b_etc.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/20.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/21.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/22_larger_two_square_example.scm	fragment	1	1	-	-	
chapter1/section1/subsection6/23.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/24_plusminusexample.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/25_ptest.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection6/26.scm	scheme	timeout	timeout	-	-	
chapter1/section1/subsection7/01_sqrt_iter.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection7/02_sqrt_iter_example.scm	fragment	1	1	-	-	
chapter1/section1/subsection7/03_improve.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection7/04_improve_example.scm	fragment	1	1	-	-	
chapter1/section1/subsection7/05_average_definition.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection7/06_average_example.scm	fragment	1	1	-	-	
chapter1/section1/subsection7/07_is_good_enough.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection7/08_is_good_enough_example.scm	fragment	1	1	-	-	
chapter1/section1/subsection7/09_sqrt.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection7/10_sqrt_example.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection7/11_sqrt_example_2.scm	scheme	1	ok	ok	ok	sqrt
chapter1/section1/subsection7/12_sqrt_example_3.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection7/13_sqrt_example_4.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection7/14_sqrt_example_5.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection7/15_conditional.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection7/16.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection7/17.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection7/18_delighted.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection7/19.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection7/20_example_1.8.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection7/21.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection7/22_example_1.9.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection8/01.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection8/02.scm	scheme	1	ok	ok	ok	exp,log
chapter1/section1/subsection8/03.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection8/04.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection8/05.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection8/06.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection8/07.scm	scheme	ok	ok	ok	ok	
chapter1/section1/subsection8/08.scm	scheme	ok	ok	ok	ok	
chapter1/section2/subsection1/01_factorial_definition.scm	scheme	ok	ok	ok	ok	
chapter1/section2/subsection1/02_factorial_example.scm	fragment	1	1	-	-	
chapter1/section2/subsection1/03.scm	scheme	ok	ok	ok	ok	
